f,x,y,m
0,0.000000,0.000000,0.000000
0,0.200000,0.000000,1.000000
0,0.200000,0.200000,0.500000
0,0.200000,0.400000,0.300000
1,0.000000,0.000000,0.000000
1,0.199999,-0.000500,1.000000
1,0.200000,0.199500,0.500000
1,0.200000,0.399500,0.300000
2,0.000000,0.000000,0.000000
2,0.199990,-0.001993,1.000000
2,0.200000,0.198007,0.500000
2,0.200000,0.398007,0.300000
3,0.000000,0.000000,0.000000
3,0.199950,-0.004480,1.000000
3,0.200000,0.195520,0.500000
3,0.200000,0.395520,0.300000
4,0.000000,0.000000,0.000000
4,0.199841,-0.007965,1.000000
4,0.200000,0.192035,0.500000
4,0.200000,0.392035,0.300000
5,0.000000,0.000000,0.000000
5,0.199612,-0.012444,1.000000
5,0.200000,0.187556,0.500000
5,0.200000,0.387556,0.300000
6,0.000000,0.000000,0.000000
6,0.199196,-0.017911,1.000000
6,0.200000,0.182087,0.500000
6,0.200000,0.382087,0.300000
7,0.000000,0.000000,0.000000
7,0.198511,-0.024360,1.000000
7,0.200000,0.175635,0.500000
7,0.200000,0.375635,0.300000
8,0.000000,0.000000,0.000000
8,0.197459,-0.031777,1.000000
8,0.200000,0.168207,0.500000
8,0.200000,0.368207,0.300000
9,0.000000,0.000000,0.000000
9,0.195930,-0.040143,1.000000
9,0.200000,0.159815,0.500000
9,0.200000,0.359815,0.300000
10,0.000000,0.000000,0.000000
10,0.193795,-0.049431,1.000000
10,0.200000,0.150473,0.500000
10,0.200000,0.350473,0.300000
11,0.000000,0.000000,0.000000
11,0.190916,-0.059592,1.000000
11,0.200000,0.140202,0.500000
11,0.200000,0.340202,0.300000
12,0.000000,0.000000,0.000000
12,0.187142,-0.070554,1.000000
12,0.200000,0.129033,0.500000
12,0.200000,0.329033,0.300000
13,0.000000,0.000000,0.000000
13,0.182328,-0.082198,1.000000
13,0.200000,0.117019,0.500000
13,0.200000,0.317019,0.300000
14,0.000000,0.000000,0.000000
14,0.176330,-0.094381,1.000000
14,0.200000,0.104213,0.500000
